"","X","ID.2","ID.3","Gender","Liv.situation","Work.wors","Work.imp","Privat.wors","Privat.imp","Contract.change","Work.quant","Care.quant","Free.quant","mwb.cat","Ovrl_HO","Work_time","Caring_duties","Freetime","Age.cat","srh","Country","Age.num","Work.wors.3","Work.imp.3","Privat.wors.3","Privat.imp.3","edu.na"
"73",73,4122832373649,5262273744189,"Female","Partner/Family/Flatshare","4","1","1","1",1,3,3,2,"1",1,"Unchanged","Unchanged","Decreased","51-60","4","Germany",55,"3","1","1","1",6
"74",74,3707906873544,4732673855784,"Female","Partner/Family/Flatshare","2","2","2","2",1,3,5,2,"1",3,"Unchanged","Increased","Decreased","41-50","3","Germany",49,"1","1","1","1",NA
"75",75,4110935297049,5247088631589,"Female","Alone","3","1","3","1",1,3,3,4,"1",2,"Unchanged","Unchanged","Increased","41-50","3","Germany",48,"2","1","2","1",4
"76",76,4164480117045,5315431817745,"Female","Alone","2","2","2","2",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","41-50","4","Germany",47,"1","1","1","1",5
"77",77,4341707011242,5541639518562,"Female","Partner/Family/Flatshare","4","1","3","1",2,2,3,2,"1",1,"Decreased","Unchanged","Decreased","41-50","3","Germany",44,"3","1","2","1",NA
"78",78,4332713476446,5530160409606,"Male","Partner/Family/Flatshare","1","1","1","1",1,3,3,3,"1",2,"Unchanged","Unchanged","Unchanged","41-50","3","Germany",43,"1","1","1","1",6
"79",79,3794853586140,4843650330540,"Male","Partner/Family/Flatshare","4","2","3","3",1,3,5,1,"1",3,"Unchanged","Increased","Decreased","31-40","3","Germany",40,"3","1","2","2",NA
"80",80,4155228408744,5303623182984,"Male","Partner/Family/Flatshare","1","1","4","1",1,3,3,1,"1",1,"Unchanged","Unchanged","Decreased","31-40","3","Germany",39,"1","1","3","1",NA
"81",81,3958584873147,5052632596767,"Female","Alone","1","1","5","1",1,3,3,1,"1",1,"Unchanged","Unchanged","Decreased","31-40","4","Germany",39,"1","1","3","1",NA
"82",82,3933844543647,5021054697267,"Male","Alone","2","2","3","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","31-40","4","Germany",39,"1","1","2","1",3
"83",83,4135181612148,5278035984228,"Female","Alone","3","3","2","4",1,3,3,3,"1",3,"Unchanged","Unchanged","Unchanged","31-40","3","Germany",39,"2","2","1","3",NA
"84",84,4070081433843,5194943845623,"Female","Partner/Family/Flatshare","1","1","3","4",1,4,5,1,"1",1,"Increased","Increased","Decreased","31-40","4","Germany",37,"1","1","2","3",NA
"85",85,3691800522945,4712116137645,"Male","Alone","4","1","4","1",1,2,3,4,"1",3,"Decreased","Unchanged","Increased","31-40","5","Germany",36,"3","1","3","1",NA
"86",86,3806076883743,4857975449523,"Male","Alone","1","1","1","1",2,2,3,4,"1",2,"Decreased","Unchanged","Increased","18-30","4","Germany",30,"1","1","1","1",4
"87",87,3954823310547,5047831438167,"Male","Alone","4","4","4","2",1,3,3,4,"1",3,"Unchanged","Unchanged","Increased","18-30","3","Germany",30,"3","3","3","1",4
"88",88,3621873376845,4622862985545,"Female","Partner/Family/Flatshare","4","1","4","1",1,5,3,1,"1",1,"Increased","Unchanged","Decreased","18-30","5","Germany",29,"3","1","3","1",NA
"89",89,3973299062841,5071413397701,"Female","Alone","1","1","1","1",1,3,3,3,"1",2,"Unchanged","Unchanged","Unchanged","18-30","5","Germany",20,"1","1","1","1",2
"90",90,3593283364845,4586371453545,"Male","Alone","3","1","5","1",1,3,3,1,"1",1,"Unchanged","Unchanged","Decreased","61-65","2","Germany",65,"2","1","3","1",5
"91",91,3782907571842,4828402755162,"Male","Alone","4","1","4","1",1,3,1,1,"1",2,"Unchanged","Decreased","Decreased","61-65","4","Germany",64,"3","1","3","1",NA
"92",92,3857238060444,4923276216684,"Female","Alone","5","3","4","3",2,2,3,2,"1",3,"Decreased","Unchanged","Decreased","61-65","3","Germany",64,"3","2","3","2",3
"93",93,4218137116344,5383918186584,"Female","Alone","2","2","2","2",1,3,3,2,"1",1,"Unchanged","Unchanged","Decreased","61-65","3","Germany",62,"1","1","1","1",4
"94",94,4399883092746,5615893923906,"Male","Alone","5","1","1","1",3,1,3,4,"1",1,"Decreased","Unchanged","Increased","51-60","3","Germany",59,"3","1","1","1",NA
"95",95,3861062793441,4928158004301,"Female","Partner/Family/Flatshare","1","1","5","1",1,3,3,1,"1",1,"Unchanged","Unchanged","Decreased","51-60","3","Germany",59,"1","1","3","1",3
"96",96,3844314743049,4906781237589,"Male","Partner/Family/Flatshare","2","2","2","2",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","51-60","4","Germany",58,"1","1","1","1",4
"97",97,3955112584146,5048200659306,"Male","Partner/Family/Flatshare","1","1","1","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","51-60","3","Germany",54,"1","1","1","1",3
