"","ID.1","ID.2","ID.3","Year.birth","Employed","Gender","Work.hours","Liv.situation","Caring.outside","Work.wors","Work.imp","Privat.wors","Privat.imp","Contract.change","ho.before","ho.after","Work.quant","Care.quant","Free.quant","wl.sat","pl.sat","work.soc","mwb","mwb.cat","New_HO","Old_HO","No_HO","Ovrl_HO","Work_time","Caring_duties","Freetime","ho.diff","Age.cat","srh","Country","Age.num","Work.wors.3","Work.imp.3","Privat.wors.3","Privat.imp.3"
"59","d20614d281379404256f8e592ec9cc03",3896094485844,4972871526084,1979,"Yes","Female",3,"Partner/Family/Flatshare","No",4,2,2,4,"Short-time reduced",10,100,2,5,4,5,5,4.5,2.14285714285714,1,0,2,0,"Experienced HO","Decreased","Increased","Increased",90,"41-50",3,"Germany",41,3,1,1,3
"60","1415d71a32514d7edafc165b1d002086",3751057141344,4787749711584,1980,"Yes","Male",4,"Alone","No",1,1,1,1,"No change",0,0,3,3,3,1,1,6,2.14285714285714,1,0,0,1,"No HO","Unchanged","Unchanged","Unchanged",0,"31-40",3,"Germany",40,1,1,1,1
"61","b7bd7a9c69da462d7bd7833239a4bc92",3861028150749,4928113787289,1982,"Yes","Male",5,"Alone","No",1,1,1,1,"No change",0,0,3,3,3,2,4,3.25,2.14285714285714,1,0,0,1,"No HO","Unchanged","Unchanged","Unchanged",0,"31-40",2,"Germany",38,1,1,1,1
"62","5e2640181294ada51557497f438e8ec5",4048288261047,5167127618667,1985,"Yes","Female",4,"Partner/Family/Flatshare","No",4,3,5,1,"No change",0,0,3,3,3,5,4,6.33333333333333,2.14285714285714,1,0,0,1,"No HO","Unchanged","Unchanged","Unchanged",0,"31-40",4,"Germany",35,3,2,3,1
"63","764efc1aedaf5f9af56017fea6cd4412",4284148694742,5468173612062,1960,"Yes","Male",4,"Partner/Family/Flatshare","No",4,1,3,3,"Short-time reduced",0,0,1,3,5,4,5,2.66666666666667,2.28571428571429,1,0,0,1,"No HO","Decreased","Unchanged","Increased",0,"51-60",2,"Germany",60,3,1,2,2
"64","f9c6546f83d10dae7e934a16b5a459bf",4403944610145,5621077936845,1961,"Yes","Female",5,"Alone","No",1,1,1,1,"No change",0,0,3,3,3,5,4,4.28571428571429,2.28571428571429,1,0,0,1,"No HO","Unchanged","Unchanged","Unchanged",0,"51-60",4,"Germany",59,1,1,1,1
"65","08e972bddfab6aaf0646f91f72102e57",3773998614348,4817031598428,1963,"Yes","Female",4,"Alone","No",5,1,5,1,"No change",0,100,3,3,4,4,4,2.5,2.28571428571429,1,3,0,0,"New HO","Unchanged","Unchanged","Increased",100,"51-60",4,"Germany",57,3,1,3,1
"66","5d8b6243ba0274de55d9bbf56c5c3395",4065737719140,5189399643540,1964,"Yes","Male",4,"Alone","Yes",5,1,5,1,"No change",0,0,4,3,2,2,4,4.75,2.28571428571429,1,0,0,1,"No HO","Increased","Unchanged","Decreased",0,"51-60",2,"Germany",56,3,1,3,1
"67","f5ec1ab95e15f0c9730fd67aa45e0a02",3978816828345,5078456127045,1968,"Yes","Female",3,"Partner/Family/Flatshare","No",3,3,3,3,"No change",0,0,3,5,1,4,3,6,2.28571428571429,1,0,0,1,"No HO","Unchanged","Increased","Decreased",0,"51-60",3,"Germany",52,2,2,2,2
"68","3c83c6954f89c98693bec9ee5f3f33f6",3807501097149,4859793277689,1973,"Yes","Female",4,"Partner/Family/Flatshare","No",3,3,3,3,"No change",100,100,3,5,3,5,5,4.5,2.28571428571429,1,0,2,0,"Experienced HO","Unchanged","Increased","Unchanged",0,"41-50",3,"Germany",47,2,2,2,2
"69","988c0488af2943621a7c80b2bf649503",4340263295745,5539796798445,1974,"Yes","Female",5,"Partner/Family/Flatshare","No",5,1,3,1,"Short-time reduced",0,0,2,5,4,3,4,2.6,2.28571428571429,1,0,0,1,"No HO","Decreased","Increased","Increased",0,"41-50",3,"Germany",46,3,1,2,1
"70","85874d31dc6ed1af41e8c90aa4ff9d23",4195896223248,5355530501328,1976,"Yes","Male",5,"Partner/Family/Flatshare","No",5,1,1,1,"No change",0,0,4,5,2,2,1,3.16666666666667,2.28571428571429,1,0,0,1,"No HO","Increased","Increased","Decreased",0,"41-50",2,"Germany",44,3,1,1,1
"71","801c446c591fefa97b77ee2ee599e934",4155855929244,5304424133484,1988,"Yes","Male",4,"Partner/Family/Flatshare","No",4,2,3,3,"No change",0,0,4,3,3,4,3,4,2.28571428571429,1,0,0,1,"No HO","Increased","Unchanged","Unchanged",0,"31-40",3,"Germany",32,3,1,2,2
"72","f9d65626702925a8a1ac9ca0d7fb3e54",4418694430542,5639904215862,1990,"Yes","Female",5,"Alone","No",3,1,4,1,"Short-time reduced",10,40,4,3,2,2,4,2.8,2.28571428571429,1,0,2,0,"Experienced HO","Increased","Unchanged","Decreased",30,"18-30",5,"Germany",30,2,1,3,1
"73","6046999e344330e921d75a0e900a3e9e",4122832373649,5262273744189,1965,"Yes","Female",4,"Partner/Family/Flatshare","No",4,1,1,1,"No change",0,0,3,3,2,4,2,5.875,2.42857142857143,1,0,0,1,"No HO","Unchanged","Unchanged","Decreased",0,"51-60",4,"Germany",55,3,1,1,1
"74","d1480c75a07752e57e6d194ea7df2992",3707906873544,4732673855784,1971,"Yes","Female",4,"Partner/Family/Flatshare","No",2,2,2,2,"No change",0,90,3,5,2,5,5,3.25,2.42857142857143,1,3,0,0,"New HO","Unchanged","Increased","Decreased",90,"41-50",3,"Germany",49,1,1,1,1
"75","242eb4ef86d764f314fc6ccbe35a9327",4110935297049,5247088631589,1972,"Yes","Female",3,"Alone","No",3,1,3,1,"No change",20,10,3,3,4,4,3,4,2.42857142857143,1,0,2,0,"Experienced HO","Unchanged","Unchanged","Increased",-10,"41-50",3,"Germany",48,2,1,2,1
"76","e93b72701c7c61892aaf8f61b3c4c6cd",4164480117045,5315431817745,1973,"Yes","Female",5,"Alone","Yes",2,2,2,2,"No change",0,0,3,3,3,5,3,5,2.42857142857143,1,0,0,1,"No HO","Unchanged","Unchanged","Unchanged",0,"41-50",4,"Germany",47,1,1,1,1
"77","c094e66f9864b8deca6efef753e36b03",4341707011242,5541639518562,1976,"Yes","Female",5,"Partner/Family/Flatshare","No",4,1,3,1,"Short-time reduced",0,0,2,3,2,3,4,2.6,2.42857142857143,1,0,0,1,"No HO","Decreased","Unchanged","Decreased",0,"41-50",3,"Germany",44,3,1,2,1
"78","830853deda74b550f140b68e75aae607",4332713476446,5530160409606,1977,"Yes","Male",3,"Partner/Family/Flatshare","No",1,1,1,1,"No change",30,30,3,3,3,5,4,4,2.42857142857143,1,0,2,0,"Experienced HO","Unchanged","Unchanged","Unchanged",0,"41-50",3,"Germany",43,1,1,1,1
"79","8c9c4602c75aa6e871a6df482763f119",3794853586140,4843650330540,1980,"Yes","Male",5,"Partner/Family/Flatshare","No",4,2,3,3,"No change",0,100,3,5,1,3,5,3,2.42857142857143,1,3,0,0,"New HO","Unchanged","Increased","Decreased",100,"31-40",3,"Germany",40,3,1,2,2
"80","218b1655283c7f5ce07ef9b6fb984e70",4155228408744,5303623182984,1981,"Yes","Male",4,"Partner/Family/Flatshare","No",1,1,4,1,"No change",0,0,3,3,1,2,3,4.33333333333333,2.42857142857143,1,0,0,1,"No HO","Unchanged","Unchanged","Decreased",0,"31-40",3,"Germany",39,1,1,3,1
"81","2a869431388f303a624893e911debf6d",3958584873147,5052632596767,1981,"Yes","Female",5,"Alone","No",1,1,5,1,"No change",0,0,3,3,1,2,1,2.33333333333333,2.42857142857143,1,0,0,1,"No HO","Unchanged","Unchanged","Decreased",0,"31-40",4,"Germany",39,1,1,3,1
"82","3031da304f8da43f0f1ce5338ce68546",3933844543647,5021054697267,1981,"Yes","Male",4,"Alone","No",2,2,3,1,"No change",0,0,3,3,3,2,3,2.75,2.42857142857143,1,0,0,1,"No HO","Unchanged","Unchanged","Unchanged",0,"31-40",4,"Germany",39,1,1,2,1
"83","bb46fb9748d76062396c4f91aa10807e",4135181612148,5278035984228,1981,"Yes","Female",4,"Alone","No",3,3,2,4,"No change",0,20,3,3,3,2,4,2.6,2.42857142857143,1,3,0,0,"New HO","Unchanged","Unchanged","Unchanged",20,"31-40",3,"Germany",39,2,2,1,3
